,month,year,permit,handgun,long_gun,multiple,total_ownership
306,2017-03-01,2017,8575.0,7476.0,2551.0,0,18602.0
307,2017-03-01,2017,835.0,2557.0,1677.0,110,5179.0
308,2017-03-01,2017,26986.0,60787.0,23982.0,2176,113931.0
309,2017-03-01,2017,23394.0,19256.0,9518.0,676,52844.0
310,2017-03-01,2017,1086.0,0.0,0.0,0,1086.0
311,2017-03-01,2017,5620.0,4500.0,4944.0,243,15307.0
312,2017-03-01,2017,911.0,30518.0,14411.0,1207,47047.0
313,2017-03-01,2017,33324.0,28593.0,14363.0,793,77073.0
314,2017-03-01,2017,16295.0,316.0,3137.0,4,19752.0
315,2017-03-01,2017,2492.0,7712.0,5522.0,360,16086.0
316,2017-03-01,2017,370113.0,13769.0,8992.0,645,393519.0
317,2017-03-01,2017,2963.0,13973.0,8092.0,762,25790.0
318,2017-03-01,2017,949.0,4558.0,3286.0,197,8990.0
319,2017-03-01,2017,4056.0,5398.0,5737.0,21,15212.0
320,2017-03-01,2017,9541.0,7274.0,3421.0,185,20421.0
321,2017-03-01,2017,25819.0,16031.0,11103.0,273,53226.0
322,2017-03-01,2017,48301.0,14029.0,12988.0,518,75836.0
323,2017-03-01,2017,2558.0,11586.0,6508.0,465,21117.0
324,2017-03-01,2017,1253.0,27625.0,17931.0,1286,48095.0
325,2017-03-01,2017,2182.0,3615.0,4584.0,281,10662.0
326,2017-03-01,2017,5011.0,176.0,1984.0,7,7178.0
327,2017-03-01,2017,3754.0,6038.0,3219.0,301,13312.0
328,2017-03-01,2017,2480.0,7278.0,3462.0,3,13223.0
329,2017-03-01,2017,0.0,6871.0,3864.0,0,10735.0
330,2017-03-01,2017,1467.0,6752.0,4571.0,374,13164.0
331,2017-03-01,2017,3138.0,12788.0,15591.0,204,31721.0
332,2017-03-01,2017,34178.0,1669.0,13837.0,261,49945.0
333,2017-03-01,2017,1614.0,2013.0,2371.0,70,6068.0
334,2017-03-01,2017,17130.0,37474.0,19925.0,1481,76010.0
335,2017-03-01,2017,0.0,14157.0,10065.0,977,25199.0
336,2017-03-01,2017,1638.0,17177.0,13521.0,0,32336.0
337,2017-03-01,2017,32238.0,61207.0,15836.0,0,109281.0
338,2017-03-01,2017,0.0,1424.0,791.0,223,2438.0
339,2017-03-01,2017,19015.0,13284.0,6749.0,691,39739.0
340,2017-03-01,2017,1773.0,3361.0,3686.0,238,9058.0
341,2017-03-01,2017,27766.0,29369.0,15922.0,0,73057.0
342,2017-03-01,2017,33412.0,55983.0,34308.0,2846,126549.0
343,2017-03-01,2017,17259.0,4401.0,4010.0,0,25670.0
344,2017-03-01,2017,0.0,2007.0,1793.0,109,3909.0
